cui,type,name
C0002429,amph,Ambystoma
C0002430,amph,Ambystoma mexicanum
C0002668,amph,Amphibians
C0003459,amph,Anura
C0006356,amph,Bufo bufo
C0006357,amph,Bufo marinus
C0006358,amph,Bufonidae
C0034651,amph,Rana catesbeiana
C0034652,amph,Rana esculenta
C0034653,amph,Rana pipiens
C0034654,amph,Rana ridibunda
C0034655,amph,Rana temporaria
C0040324,amph,Fire-Bellied Toad
C0042058,amph,Urodela
C0043343,amph,Xenopus laevis
C0086705,amph,Newts
C0086949,amph,Salamanders
C0326967,amph,Tadpole
C0326982,amph,Ambystoma tigrinum
C0327034,amph,Bufo americanus
C0327036,amph,Bufo boreas
C0327041,amph,Natterjack
C0327057,amph,Family Hylidae
C0327058,amph,Treefrog
C0327077,amph,Rana sylvatica
C0999001,amph,Bombina variegata
C0999009,amph,Xenopus tropicalis
C0999025,amph,Bufo japonicus
C1004206,amph,Tetrapoda
C1033483,amph,Rana ornativentris
C1037504,amph,Ranitomeya ventrimaculata
C1041732,amph,Epipedobates tricolor
C1048093,amph,Limnodynastes ornatus
C1051789,amph,Amolops ricketti
C1058743,amph,Hyla arborea
C1072458,amph,Rana latastei
C1081636,amph,Bufo gargarizans
C1189197,amph,Nanorana parkeri
C1190951,amph,Breviceps
C1213291,amph,Rana grylio
C1216140,amph,Pseudacris ocularis
C1464563,amph,Pseudacris nigrita
C1472607,amph,Dryophytes arenicolor
C1643867,amph,Dryophytes gratiosus
C1669434,amph,Acris
C1672086,amph,Dryophytes squirellus
C1682702,amph,Dryophytes femoralis
C1691213,amph,Congo eel
C1930288,amph,Taudactylus acutirostris
C1961114,amph,Bombina bombina
C4184442,amph,Rugosa
