cui,type,name
C0738255,bsoj,Lumen of vagina
C0738566,bsoj,Cavity of lower abdomen
C0739879,bsoj,Fascial space
C0741204,bsoj,ARCH
C0819925,bsoj,Pulmonary interstitium
C0820957,bsoj,Preputial cavity
C0827004,bsoj,Right knee joint
C0827005,bsoj,Left knee joint
C0872093,bsoj,adherent junction
C0923883,bsoj,Marginal sinus
C0925566,bsoj,Mylohyoid line
C0925580,bsoj,Piriform aperture
C0926401,bsoj,Nasolacrimal canal
C0926578,bsoj,Right orbital compartment
C0926784,bsoj,Facial canal
C0926851,bsoj,Right piriform fossa
C0927965,bsoj,Left tympanic cavity
C0929191,bsoj,Right side of retroperitoneal compartment
C0929233,bsoj,Right posterior costodiaphragmatic recess
C0929236,bsoj,Left posterior costodiaphragmatic recess
C0929501,bsoj,Cavity of eyeball
C0932508,bsoj,Proximal interphalangeal joint
C0935377,bsoj,Left axillary fossa
C1178983,bsoj,Synaptic connectivity
C1179882,bsoj,Chemical synapse
C1179886,bsoj,Cell cavity
C1180098,bsoj,Tissue space
C1180370,bsoj,Intracellular junction
C1182912,bsoj,Set of limb joints
C1183517,bsoj,Ligament attachment
C1184208,bsoj,Lumen of bronchiole
C1184482,bsoj,Groove
C1185718,bsoj,Cistern
C1185742,bsoj,Commissure
C1235660,bsoj,Notch
C1261046,bsoj,Glenoid structure
C1261091,bsoj,Structure of fallopian tube lumen
C1262468,bsoj,Structure of intercarpal joint
C1267110,bsoj,Entire synovial joint
C1268229,bsoj,Sublingual space
C1269611,bsoj,Entire joint
C1279144,bsoj,Entire hip joint
C1282329,bsoj,Pharyngeal space
C1283923,bsoj,Entire respiratory airway
C1370196,bsoj,Intrathecal Space
C1444179,bsoj,Interdental space
C1444804,bsoj,Frontal recess
C1512777,bsoj,Inhibitory Synapse
C1516438,bsoj,Cervicomedullary Junction
C1516932,bsoj,Epithelial Cell Junction
C1704247,bsoj,Peritoneal Cavity
C1709868,bsoj,Rectosigmoid Region
C1744547,bsoj,Structure of anterior median fissure of medulla oblongata
C1955857,bsoj,Peritoneal Stomata
C2246397,bsoj,paranodal junction
C2330791,bsoj,Compartment of abdomen
C2335307,bsoj,Anterior mediastinal space
C2337279,bsoj,Lymphatic connectivity
C2338959,bsoj,Mediastinal space
C2949781,bsoj,Right lateral sulcus
C2950548,bsoj,Presacral space
C2950797,bsoj,Cranial compartment
C2953433,bsoj,Right third upper molar tooth bony socket
C3271545,bsoj,slit diaphragm
C3686739,bsoj,Structure of celomic cavity
C4068813,bsoj,Left sternal border
C4322717,bsoj,Subpial space
C4328869,bsoj,cholinergic synapse
C4328872,bsoj,glutamatergic synapse
C4331241,bsoj,Renal Bed
