cui,type,name
C0004376,mcha,Automation
C0009609,mcha,Computer Simulation
C0012251,mcha,"Signal Processing, Digital"
C0027489,mcha,Natural Language Processing
C0034957,mcha,Refrigeration
C0037082,mcha,"Signal Processing, Computer-Assisted"
C0039450,mcha,Teleconference
C0178706,mcha,image processing
C0282332,mcha,Cold Chain
C0376284,mcha,Machine Learning
C0597171,mcha,parallel processing
C0868941,mcha,Data Processing
C1328866,mcha,Data Mining
C1516770,mcha,Computer Analysis
C1708464,mcha,Image Acquisition
C1710578,mcha,Upload
C1710664,mcha,Web Service
C2347840,mcha,Commit Operation
C2717775,mcha,Molecular Dynamics Simulation
C2718049,mcha,Text Mining
C2827423,mcha,Spectral Unmixing
C3489666,mcha,In Silico
