cui,type,name
C0003025,fish,Freshwater eels
C0005870,fish,Bluegill
C0006943,fish,Carassius carassius
C0007284,fish,"Carp, fish"
C0007418,fish,Siluriformes
C0008769,fish,Cichlids
C0010342,fish,Scombridae
C0010596,fish,Agnatha
C0010613,fish,Cyprinidae
C0010614,fish,Cypriniformes
C0012064,fish,Dicentrarchus
C0012982,fish,Squalidae
C0013671,fish,Eels
C0013780,fish,Electric Fish
C0014878,fish,Esocidae
C0016259,fish,Flounder
C0018038,fish,Goldfish
C0018492,fish,Hagfish
C0022990,fish,Lampreys
C0023925,fish,Loaches
C0026397,fish,Molly
C0026582,fish,Mosquito Fish
C0029023,fish,Oncorhynchus
C0030983,fish,Perciformes
C0032067,fish,Plaice
C0036108,fish,Oncorhynchus mykiss
C0036110,fish,Salmon
C0036129,fish,Salmonidae
C0036143,fish,Salvelinus
C0036941,fish,Shark - fish
C0037762,fish,Sparus
C0038327,fish,Sticklebacks
C0040478,fish,Torpedo
C0041200,fish,Salmo trutta
C0041396,fish,Psetta maxima
C0043457,fish,Zebrafish
C0079105,fish,"Catfishes, Channel"
C0086628,fish,Minnows
C0086894,fish,Rajiformes
C0162640,fish,Tilapia mossambica
C0162641,fish,Oreochromis niloticus
C0162642,fish,Tilapia
C0205942,fish,"Salmon, Sockeye"
C0205943,fish,Oncorhynchus tshawytscha (fish)
C0206147,fish,Oncorhynchus kisutch
C0206148,fish,Oncorhynchus keta
C0282562,fish,Elasmobranchii
C0327587,fish,Petromyzontiformes
C0327599,fish,Lampetra japonica
C0327605,fish,Petromyzon marinus
C0327606,fish,fish <Chondrichthyes>
C0327614,fish,Family Heterodontidae - bullhead shark
C0327615,fish,Heterodontus francisci
C0327620,fish,Rhincodon typus
C0327682,fish,Squalus acanthias
C0327705,fish,Raja erinacea
C0327751,fish,Family Acipensiridae
C0327752,fish,Acipenser
C0327765,fish,Lepisosteus osseus
C0327771,fish,Amia calva
C0327781,fish,Anguilla anguilla
C0327782,fish,Anguilla japonica
C0327828,fish,Conger oceanicus
C0327883,fish,Brevoortia patronus
C0327887,fish,Clupea harengus pallasi
C0327949,fish,Salmo salar
C0327951,fish,Salvelinus alpinus
C0327953,fish,Salvelinus fontinalis
C0327965,fish,Osmerus mordax
C0327986,fish,Exox lucius
C0327987,fish,Esox masquinongy
C0328037,fish,Grass Carp (fish)
C0328038,fish,Cyprinus carpio
C0328104,fish,Leuciscus idus
C0328109,fish,Notemigonus crysoleucas
C0328204,fish,Notropis texanus
C0328229,fish,Pimephales promelas
C0328264,fish,Catostomus commersoni
C0328325,fish,Ictalurus nebulosus
C0328433,fish,Gadus morhua
C0328442,fish,Pollachius virens
C0328444,fish,Theragra chalcogramma
C0328578,fish,Fundulus olivaceus
C0328592,fish,Kryptolebias marmoratus
C0328667,fish,Stylephorus chordatus
C0328673,fish,Gasterosteus aculeatus
C0328691,fish,Hippocampus reidi
C0328806,fish,Centrarchus macropterus
C0328998,fish,Rachycentron canadum
C0329036,fish,Seriola lalandei
C0329040,fish,Trachinotus falcatus
C0329120,fish,Sea Bream
C0329155,fish,Leiostomus xanthurus
C0329179,fish,Girella nigricans
C0329207,fish,Astronotus ocellatus
C0329245,fish,Chromis multilineatus
C0329607,fish,Xiphias gladius
C0330074,fish,Takifugu
C0446375,fish,Clupeidae
C0446376,fish,Cod
C0452986,fish,Halibut
C0598834,fish,Oryzias latipes
C0599045,fish,lungfish
C0599050,fish,teleost
C0936076,fish,Pufferfish
C0949249,fish,Koi Carp
C0949250,fish,Hypophthalmichthys molitrix
C0949582,fish,Genus Hippocampus
C0949583,fish,Swamp Eels
C0949586,fish,Takifugu rubripes
C0998768,fish,Torpedo marmorata
C0998822,fish,fish <Actinopterygii>
C0998853,fish,Misgurnus fossilis
C0998863,fish,Osmeridae
C0998865,fish,Oncorhynchus masou
C0998924,fish,Lateolabrax japonicus
C0998931,fish,Lates
C0998932,fish,Lates calcarifer
C0998972,fish,Paralichthys olivaceus
C1000721,fish,Dicentrarchus labrax
C1002494,fish,Osmerus eperlanus
C1003377,fish,Lethrinidae
C1003387,fish,Serranidae
C1003414,fish,Silurus asotus
C1004196,fish,Neolamprologus brichardi
C1006115,fish,Chionodraco hamatus
C1010953,fish,Monopterus albus
C1013091,fish,Tetraodon
C1018493,fish,Alosinae
C1020739,fish,Blicca bjoerkna
C1022585,fish,Plecoglossus altivelis
C1028265,fish,teleost fish
C1034703,fish,Geophagus brasiliensis
C1036842,fish,Labeo rohita
C1037401,fish,Gobius bucchichi
C1039355,fish,Sio
C1045314,fish,Verasper moseri
C1045919,fish,Tetraodon nigroviridis
C1051304,fish,Hippocampus abdominalis
C1057284,fish,Siniperca chuatsi
C1059403,fish,Acanthomorphata
C1069472,fish,Pagrus major
C1077226,fish,Parma
C1079514,fish,Orectolobus maculatus
C1081457,fish,Limanda limanda
C1084907,fish,Meda
C1101834,fish,Dolphins - fish
C1148479,fish,Electric Eel
C1199178,fish,Cichlasoma urophthalmum
C1214710,fish,Tachysurus fulvidraco
C1217267,fish,Valencia
C1222340,fish,Epinephelus tauvina
C1223894,fish,Electrona antarctica
C1304603,fish,Perca fluviatilis
C1460652,fish,Uranoscopus scaber
C1490787,fish,Miichthys miiuy
C1646829,fish,Phago
C1668248,fish,Iso
C1896479,fish,Quintana
C2279544,fish,Argentina sphyraena
C3003618,fish,Oligosarcus hepsetus
C3095064,fish,salmonid fish
C3128443,fish,Hypostomus auroguttatus
C3668947,fish,Cyprinus carpio carpio
C3988596,fish,Mobula mobular
C4196219,fish,Ucla
