cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0040300,C0006826,NEG_PART_OF,Body tissue,Malignant Neoplasms,tisu,neop,6,NEG_PART_OF_TISUnprtfNEOP
C0040300,C0007131,NEG_PART_OF,Body tissue,Non-Small Cell Lung Carcinoma,tisu,neop,1,NEG_PART_OF_TISUnprtfNEOP
C0440744,C0007131,NEG_PART_OF,Human tissue,Non-Small Cell Lung Carcinoma,tisu,neop,1,NEG_PART_OF_TISUnprtfNEOP
C4288592,C0027651,NEG_PART_OF,Non-Cellular Component,Neoplasms,tisu,neop,1,NEG_PART_OF_TISUnprtfNEOP
