cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007450,C0021053,ASSOCIATED_WITH,Felis catus,Immune System Diseases,mamm,dsyn,1,ASSOCIATED_WITH_MAMMaswtDSYN
C0007450,C0038354,ASSOCIATED_WITH,Felis catus,Stomach Diseases,mamm,dsyn,1,ASSOCIATED_WITH_MAMMaswtDSYN
C0012984,C0021053,ASSOCIATED_WITH,Canis familiaris,Immune System Diseases,mamm,dsyn,1,ASSOCIATED_WITH_MAMMaswtDSYN
C0012984,C0038354,ASSOCIATED_WITH,Canis familiaris,Stomach Diseases,mamm,dsyn,1,ASSOCIATED_WITH_MAMMaswtDSYN
