cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C1332801,C0035522,CAUSES,CTF1 gene,Rib Fractures,gngm,inpo,1,CAUSES_GNGMcausINPO
C1413138,C0035126,CAUSES,CAT gene,Reperfusion Injury,gngm,inpo,1,CAUSES_GNGMcausINPO
C1415533,C0876926,CAUSES,HGD gene,Traumatic Brain Injury,gngm,inpo,1,CAUSES_GNGMcausINPO
